flow_duration,fwd_packets,bwd_packets,flow_bytes_per_sec,flow_pkts_per_sec,fwd_pkt_len_mean,bwd_pkt_len_mean,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt
5.243792140922614,8,9,1710.0714699269724,9.716315170039616,124,84,1,0,0
8.60304905305199,7,3,911.2404834269811,7.348713576024041,223,203,0,1,1
9.707601372524,14,9,3776.5584570916485,14.927108526053948,237,230,0,1,1
3.2278596004303766,9,6,2247.775099832224,10.858816907402048,219,94,1,1,0
3.4209406399158793,8,1,854.108677946114,8.292317261612757,52,49,1,1,1
5.319449512454112,6,9,492.28188117049433,7.691904393288974,133,200,1,0,1
7.742454751911548,9,1,976.8199064028863,9.129158003765292,152,77,1,0,1
5.341207433964324,1,8,477.07763673126914,2.4977886739857023,128,33,0,0,0
4.155642380882627,1,4,363.0711457280955,1.962546733665381,181,134,1,1,0
2.8077318087606473,18,2,2563.587668147317,18.712318745600854,150,203,0,1,0
2.1179797005525343,6,9,379.22530292104676,10.249332511379642,104,134,0,1,0
7.381544675058247,8,8,1898.5108556003972,9.083783998088025,123,93,1,1,0
8.33342602371861,7,4,1787.718724001273,7.479994661093192,163,165,1,1,1
5.328134483040864,9,2,403.140733735932,9.375365900835627,118,43,0,0,0
6.541678197480185,19,7,2629.17809686102,20.07006180809939,204,167,0,0,0
6.928369979507885,19,2,4417.105014794913,19.28866818687735,177,242,1,0,1
5.882307721474308,3,3,231.66025875816888,3.5100039205783164,220,124,1,0,0
3.3191459966009234,12,1,1537.6602897636953,12.301282318109562,244,190,1,0,1
4.829440010032679,4,4,1057.387489684145,4.828253377553174,183,81,0,0,1
6.292525402810713,2,4,255.660458267946,2.635674827504598,110,193,1,1,0
3.4914501751154643,19,6,3232.0834475803586,20.71848363833563,43,162,0,1,1
8.523982574030885,1,3,77.06104523500173,1.3519481620175742,39,131,1,1,0
6.692864799036755,14,2,2144.823854807761,14.298825698718408,68,100,1,0,0
3.2250796696285935,15,8,4335.178601224596,17.48055887590563,115,161,0,1,0
4.519733829865846,2,3,95.89521243183597,2.6637559008843326,224,199,1,1,1
9.728389405706903,15,3,2280.947996256994,15.308375813805329,45,111,1,0,1
7.0245136131342525,9,1,1499.3468121826054,9.142358610869545,51,39,0,1,0
3.2727500386787733,11,5,2580.7200329469147,12.527767150227742,235,196,0,0,1
8.251031376550479,15,6,2186.078272756329,15.727181818390857,220,179,1,1,1
2.1067372767666406,5,4,393.224220701087,6.898670538615562,60,32,0,0,1
2.6200939372545116,5,1,1130.1497980717631,5.381665705103634,237,43,1,1,0
5.319073734328659,11,2,2821.2493183538472,11.376005315942932,81,60,0,0,0
3.2880212190774394,11,2,2112.7048816741312,11.608268580627094,203,69,1,0,1
2.1944318843734965,16,2,2621.2666313352006,16.911397621517423,150,39,1,0,0
7.577465273837888,6,5,779.2025972880117,6.659851258871895,206,65,0,0,0
9.501527975266209,10,2,2460.7286829291784,10.210492460287048,176,57,1,0,1
7.916674280714121,8,9,703.536757914649,9.136841011878559,227,64,0,0,0
6.929969232093915,16,5,2274.1245337787072,16.721503924843436,121,221,1,1,1
6.4445853042148675,9,1,1831.0338044356704,9.155169022178352,120,207,0,0,0
6.10314634888001,9,4,1245.546555252553,9.655399653120565,156,133,1,1,1
4.943551117707889,2,2,413.58560593573833,2.4045674763705716,54,114,0,0,0
2.081881498335476,7,9,2762.81508037598,11.32301262449172,174,96,1,1,0
6.070950346136129,19,9,3932.634184349702,20.4824697101547,80,255,0,0,1
1.1320035134163744,11,3,3153.1889126549913,13.65016845305191,141,237,1,1,1
5.504007782176673,8,2,1915.2120916476747,8.363371579247488,187,148,0,1,0
4.421760569072713,2,5,745.1235722538353,3.1307713119909044,75,46,0,1,0
8.316871648444842,18,5,3385.4161408839536,18.60118758727447,138,111,0,0,1
9.591940270299768,4,3,198.38707874644504,4.312762581444457,99,52,0,1,0
1.9127874560429485,4,5,548.9608540085918,6.6139861928746,58,188,0,1,0
6.228388479365179,10,4,2011.3797120241693,10.642220698540578,177,33,0,0,1
